Latitude,Longitude
39.45745,-0.35457000000000005
39.45787,-0.35427000000000003
39.45872000053986,-0.3539200042676615
39.45957000000001,-0.35357000000000005
39.45966000000001,-0.35347
39.45967,-0.35328000000000004
39.45971,-0.35314
39.45978,-0.35301000000000004
39.459830000000004,-0.35292
39.45996,-0.35281
39.46011,-0.35275
39.460240000000006,-0.35274000000000005
39.460330000000006,-0.35277000000000003
39.46043,-0.35282
39.460570000000004,-0.35294000000000003
39.460660000000004,-0.3531
39.461180000000006,-0.35291
39.46167499992725,-0.35270500156262846
39.46217,-0.35250000000000004
39.462140000000005,-0.3522
39.461871686125384,-0.35124664828982904
39.4616033644671,-0.3502933039302757
39.46133503502527,-0.3493399669214263
39.46106669780008,-0.3483866372633672
39.46079835279159,-0.3474333149561849
39.460530000000006,-0.34648
39.46027835814892,-0.3454033138552726
39.46002670637006,-0.3443266354958803
39.459775044663594,-0.34324996492200394
39.4595233730297,-0.34217330213382485
39.459271691468516,-0.34109664713152416
39.45902,-0.34002000000000004
39.459030000000006,-0.34002000000000004
39.458930007730714,-0.3390699972871661
39.45883000773246,-0.33811999730384357
39.45873,-0.33717
39.45879667429093,-0.33622666842506577
39.45886334096105,-0.3352833350430665
39.45893,-0.33434
39.45915000205545,-0.33364000234835367
39.45937,-0.33294
39.459450000000004,-0.33288
39.459520000000005,-0.33288
39.45975000000001,-0.33295
39.459880000000005,-0.33296000000000003
39.460060000000006,-0.33293
39.460080000000005,-0.33284
39.46018,-0.33274000000000004
39.460786670582216,-0.3320633451356737
39.46139333724322,-0.3313866784755125
39.46201,-0.33071
39.462250000000004,-0.33038
39.46247,-0.32996000000000003
39.46266000000001,-0.3295
39.462610000000005,-0.32938
39.462610000000005,-0.32918000000000003
39.462680000000006,-0.32902000000000003
39.462810000000005,-0.32892000000000005
39.46289,-0.32878
39.462950000000006,-0.32852000000000003
39.46296,-0.32851
39.46309,-0.32737000000000005
39.463100000000004,-0.32641000000000003
39.46316,-0.3264
39.46316000154156,-0.32580000005349635
39.46316,-0.32520000000000004
39.463210000000004,-0.3251
39.463260000000005,-0.3251
39.46332,-0.32501
39.46349,-0.32497000000000004
39.464159999922494,-0.32492500043901656
