Elevation,HR,Latitude,Longitude,Minutes,Tempature,Timestamp,Distance,Time_Dif,TimeDif,cumDistance
11.0,147,39.456549,-0.355722,0.0,20.0,00:00:00,0.0,0,,0.0
11.4,148,39.456561,-0.355702,0.0166666666666666,20.0,00:00:01,0.0021745915251009996,0,0.0166666666666666,0.0021745915251009996
11.0,153,39.45658,-0.355682,0.0333333333333333,20.0,00:00:02,0.0027224809692701513,0,0.016666666666666698,0.0048970724943711505
11.4,153,39.456596,-0.355653,0.05,20.0,00:00:03,0.003060104974604207,0,0.016666666666666705,0.007957177468975358
11.8,157,39.456614,-0.355626,0.0666666666666666,20.0,00:00:04,0.003062591278698912,0,0.016666666666666594,0.011019768747674269
12.0,160,39.456713,-0.355429,0.2,20.0,00:00:12,0.020180229067261087,0,0.13333333333333341,0.031199997814935355
12.0,162,39.456747,-0.355375,0.2333333333333333,20.0,00:00:14,0.005982205322352933,0,0.0333333333333333,0.03718220313728829
12.0,159,39.456854,-0.355217,0.35,20.0,00:00:21,0.01804346323178452,0,0.11666666666666667,0.05522566636907281
12.2,156,39.456875,-0.355195,0.3666666666666666,20.0,00:00:22,0.0030033612025097563,0,0.016666666666666607,0.05822902757158256
12.2,152,39.456897,-0.355172,0.3833333333333333,20.0,00:00:23,0.0031438085407764467,0,0.01666666666666672,0.06137283611235901
12.4,145,39.45691,-0.355148,0.4,20.0,00:00:24,0.002516983124141436,0,0.01666666666666672,0.06388981923650044
12.2,140,39.456948,-0.355106,0.4333333333333333,20.0,00:00:26,0.005554846072658351,0,0.03333333333333327,0.0694446653091588
12.2,144,39.456963,-0.355085,0.45,20.0,00:00:27,0.0024561208961351344,0,0.01666666666666672,0.07190078620529393
12.2,149,39.456972,-0.355066,0.4666666666666667,20.0,00:00:28,0.0019137391028124424,0,0.016666666666666663,0.07381452530810637
12.2,153,39.456991,-0.355046,0.4833333333333333,20.0,00:00:29,0.0027224745758065547,0,0.016666666666666607,0.07653699988391292
12.2,158,39.457011,-0.355028,0.5,20.0,00:00:30,0.0027081151907176176,0,0.01666666666666672,0.07924511507463054
