Elevation,HR,Latitude,Longitude,Minutes,Tempature,Timestamp,Distance,Time_Dif,TimeDif,cumDistance
12.7,,39.47711,-0.36778,9.166666666666666,,00:09:10,0.6303173803727389,0,0.01666666666666572,1.9113433211329185
12.7,,39.47719,-0.36834,9.183333333333334,,00:09:11,0.5656854249488147,0,0.016666666666667496,1.9156291968314623
12.8,,39.47727,-0.36851,9.2,,00:09:12,0.18788294227927294,0,0.01666666666666572,1.9197538487423929
12.8,,39.47769333727806,-0.3691799920030617,9.216666666666669,,00:09:13,0.7925299585288724,0,0.016666666666669272,1.923214231237333
12.8,,39.47811667071132,-0.3698499921611264,9.233333333333333,,00:09:14,0.7925347989352678,0,0.016666666666663943,1.9267260421704144
12.9,,39.47854,-0.37052,9.25,,00:09:15,0.7925390784093702,0,0.016666666666667496,1.9302178727287362
12.9,,39.478910000000006,-0.37131,9.266666666666667,,00:09:16,0.8723531395041301,0,0.016666666666667496,1.9335054373843672
13.1,,39.479130000000005,-0.37157,9.3,,00:09:18,0.3405877273177668,0,0.033333333333333215,1.9394479070474315
13.2,,39.4797,-0.37211,9.316666666666666,,00:09:19,0.7851751396953639,0,0.01666666666666572,1.9438946914497586
13.3,,39.48006,-0.3729,9.333333333333334,,00:09:20,0.8681589716177789,0,0.016666666666667496,1.9479432068716842
13.3,,39.4802,-0.37314,9.35,,00:09:21,0.2778488797899213,0,0.01666666666666572,1.9516345727650914
13.4,,39.48061500140851,-0.3737299963627279,9.366666666666667,,00:09:22,0.7213334021752745,0,0.016666666666667496,1.95534098093901
13.6,,39.48103,-0.37432,9.383333333333333,,00:09:23,0.7213377315316201,0,0.01666666666666572,1.9585894216336264
13.7,,39.48138,-0.3748,9.4,,00:09:24,0.594053869613854,0,0.016666666666667496,1.962193510559672
13.8,,39.48163,-0.37511,9.416666666666666,,00:09:25,0.39824615503552896,0,0.01666666666666572,1.9659339611447952
13.9,,39.48185,-0.37548,9.433333333333334,,00:09:26,0.43046486499997655,0,0.016666666666667496,1.9691956454918684
13.9,,39.48226500247638,-0.3762449953800742,9.45,,00:09:27,0.8703131545235226,0,0.01666666666666572,1.972526721570872
13.7,,39.48268,-0.37701,9.466666666666669,,00:09:28,0.8703189146047408,0,0.016666666666669272,1.9760611378460866
13.6,,39.48274,-0.3772,9.483333333333333,,00:09:29,0.19924858845099822,0,0.016666666666663943,1.9796626820823187
13.5,,39.48279500205471,-0.3778949992744425,9.5,,00:09:30,0.6971723011549666,0,0.016666666666667496,1.9834701241246302
13.4,,39.482850000000006,-0.37859,9.516666666666667,,00:09:31,0.6971734235557911,0,0.016666666666667496,1.9872299083689948
13.3,,39.4829,-0.37939,9.533333333333331,,00:09:32,0.801560977093753,0,0.016666666666663943,1.990739670156234
13.2,,39.48293,-0.38041,9.55,,00:09:33,1.0204410811017888,0,0.016666666666669272,1.9940849175405566
13.1,,39.48297,-0.38071,9.566666666666666,,00:09:34,0.30265491900819824,0,0.01666666666666572,1.9972795794406817
12.8,,39.48282,-0.38149,9.6,,00:09:36,0.7942921376933668,0,0.033333333333333215,2.003233598273349
12.7,,39.48274,-0.38171,9.616666666666667,,00:09:37,0.23409399821335558,0,0.016666666666667496,2.0063650340198236
12.6,,39.48266,-0.3821,9.633333333333333,,00:09:38,0.3981205847472805,0,0.01666666666666572,2.0096992893035877
12.5,,39.482420000000005,-0.38269,9.65,,00:09:39,0.6369458375710019,0,0.016666666666667496,2.0133033896244954
12.3,,39.48216500149336,-0.3832850022347467,9.666666666666666,,00:09:40,0.6473421797985364,0,0.01666666666666572,2.0175713948569025
12.2,,39.481910000000006,-0.38388,9.683333333333334,,00:09:41,0.6473392482055831,0,0.016666666666667496,2.0213444992464726
12.1,,39.48178,-0.38413,9.7,,00:09:42,0.28178005607477885,0,0.01666666666666572,2.025141552940828
12.1,,39.481640000000006,-0.38406,9.716666666666669,,00:09:43,0.15652475842025124,0,0.016666666666669272,2.028635919820152
12.0,,39.481030000880736,-0.3836299962913861,9.733333333333333,,00:09:44,0.7463257431790055,0,0.016666666666663943,2.0322765497045605
11.9,,39.48042,-0.3832,9.75,,00:09:45,0.7463229094043146,0,0.016666666666667496,2.0360839995322664
11.8,,39.48038,-0.38311,9.766666666666667,,00:09:46,0.0984885780202126,0,0.016666666666667496,2.0400585861930973
11.7,,39.48038,-0.38295,9.783333333333331,,00:09:47,0.15999999999999348,0,0.016666666666663943,2.0443593605817836
11.7,,39.48049,-0.38283,9.8,,00:09:48,0.1627882059653917,0,0.016666666666669272,2.048483188980501
11.6,,39.480610000000006,-0.38262,9.816666666666666,,00:09:49,0.24186773245021742,0,0.01666666666666572,2.0522534611603844
11.6,,39.480875002453125,-0.3818550030681706,9.833333333333334,,00:09:50,0.8095965698220415,0,0.016666666666667496,2.056228050804383
11.5,,39.48114,-0.38109,9.85,,00:09:51,0.8096007622044804,0,0.01666666666666572,2.0600766443796634
11.5,,39.48118,-0.38095,9.866666666666667,,00:09:52,0.14560219778516886,0,0.016666666666667496,2.064433739319828
11.5,,39.48122,-0.38068,9.883333333333333,,00:09:53,0.27294688127889427,0,0.01666666666666572,2.068764941921872
11.4,,39.48122,-0.38046,9.9,,00:09:54,0.21999999999999797,0,0.016666666666667496,2.072529081459179
11.4,,39.48113,-0.37989,9.916666666666666,,00:09:55,0.5770615218501778,0,0.01666666666666572,2.076007652893236
11.4,,39.480990000000006,-0.37912,9.933333333333334,,00:09:56,0.7826237921239714,0,0.016666666666667496,2.079443306653022
11.3,,39.48085,-0.37862,9.95,,00:09:57,0.5192301994322898,0,0.01666666666666572,2.083216421983531
11.3,,39.48059000000001,-378,9.966666666666669,,00:09:58,0.6723094525550666,0,0.016666666666669272,2.0870609548707195
11.2,,39.48011500299733,-0.3771749945092298,9.983333333333333,,00:09:59,0.9519749011148492,0,0.016666666666663943,2.090675523959897
11.1,,39.47964,-0.37635,10.0,,00:10:00,0.9519683753825924,0,0.016666666666667496,2.0940097906035544
11.0,,39.479510000000005,-0.37607,10.016666666666667,,00:10:01,0.30870698080808845,0,0.016666666666667496,2.0972422675769438
10.9,,39.479290000000006,-0.37551,10.033333333333331,,00:10:02,0.6016643582592103,0,0.016666666666663943,2.1009014783004742
10.8,,39.47892,-0.3747,10.05,,00:10:03,0.8905054744373181,0,0.016666666666669272,2.1048966759908723
10.8,,39.47862000220998,-0.373979996870468,10.066666666666666,,00:10:04,0.7800020388143657,0,0.01666666666666572,2.108443886173147
10.8,,39.47832,-0.37326,10.083333333333334,,00:10:05,0.7799979612013151,0,0.016666666666667496,2.1120767682562045
10.7,,39.477903337210336,-0.3725899920250906,10.1,,00:10:06,0.7889984580024265,0,0.01666666666666572,2.11584988858676
10.7,,39.47748667057579,-0.371919992076837,10.116666666666667,,00:10:07,0.7889936723452708,0,0.016666666666667496,2.1193777240586344
10.7,,39.477070000000005,-0.37125,10.133333333333333,,00:10:08,0.7889890694756263,0,0.01666666666666572,2.123195231922761
10.6,,39.476850000000006,-0.37098,10.15,,00:10:09,0.34828149534462444,0,0.016666666666667496,2.127132747083969
10.6,,39.47617,-0.37025,10.166666666666666,,00:10:10,0.9976472322437294,0,0.01666666666666572,2.1312065218107095
10.6,,39.47586,-0.36999,10.183333333333334,,00:10:11,0.40459856648752096,0,0.016666666666667496,2.135042237736884
10.5,,39.4755,-0.36986,10.2,,00:10:12,0.3827531841806278,0,0.01666666666666572,2.1387334137162113
10.5,,39.475190000000005,-0.36978,10.216666666666669,,00:10:13,0.32015621186372495,0,0.016666666666669272,2.1425065375121477
10.5,,39.47470500001126,-0.3697900000694927,10.233333333333333,,00:10:14,0.4851030720065678,0,0.016666666666663943,2.1459851180539076
10.4,,39.47422,-0.3698,10.25,,00:10:15,0.48510309165381343,0,0.016666666666667496,2.1493625496409607
10.3,,39.47411,-0.36984,10.266666666666667,,00:10:16,0.11704699910661615,0,0.016666666666667496,2.152883525280616
10.3,,39.47373,-0.36985,10.283333333333331,,00:10:17,0.3801315561747895,0,0.016666666666663943,2.1560236141594533
10.2,,39.47297,-0.37001,10.3,,00:10:18,0.7766595135645129,0,0.016666666666669272,2.1593898455232283
10.3,,39.472750000000005,-0.37007,10.316666666666666,,00:10:19,0.22803508501179356,0,0.01666666666666572,2.1629542959718937
10.3,,39.47272,-0.37012,10.333333333333334,,00:10:20,0.058309518949691816,0,0.016666666666667496,2.166491589914846
10.3,,39.4727,-0.37021,10.35,,00:10:21,0.0921954445727441,0,0.01666666666666572,2.170245932065048
10.4,,39.47290501323685,-0.3712249910348835,10.366666666666667,,00:10:22,1.0354888836559686,0,0.016666666666667496,2.173714589977382
10.4,,39.47311001765021,-0.3722399880515327,10.383333333333333,,00:10:23,1.0354930001229972,0,0.01666666666666572,2.1773449763362955
10.5,,39.47331501323995,-0.373254991049769,10.4,,00:10:24,1.03549711648163,0,0.016666666666667496,2.182087447742983
10.5,,39.47352,-0.37427,10.416666666666666,,00:10:25,1.035501202725603,0,0.01666666666666572,2.1879442426665454
10.6,,39.473490000000005,-0.3743,10.433333333333334,,00:10:26,0.04242640686789883,0,0.016666666666667496,2.1936734157384064
10.7,,39.47345,-0.37431,10.45,,00:10:27,0.041231056261589745,0,0.01666666666666572,2.198924459341585
10.7,,39.473200000000006,-0.37431,10.466666666666669,,00:10:28,0.24999999999408828,0,0.016666666666669272,2.203583089765325
10.8,,39.472820000000006,-0.3744,10.483333333333333,,00:10:29,0.3905124837951703,0,0.016666666666663943,2.2075570036305203
10.8,,39.472750000000005,-0.37446,10.5,,00:10:30,0.09219544457361716,0,0.016666666666667496,2.211263450260768
10.8,,39.472570000000005,-0.37446,10.516666666666667,,00:10:31,0.18000000000029104,0,0.016666666666667496,2.215226459514679
10.8,,39.47185,-0.37431,10.533333333333331,,00:10:32,0.7354590403290233,0,0.016666666666663943,2.2191671928843233
10.7,,39.47123999991238,-0.3742449994188585,10.55,,00:10:33,0.6134534884181027,0,0.016666666666669272,2.2233910443191873
10.7,,39.47063,-0.37418,10.566666666666666,,00:10:34,0.6134531910037472,0,0.01666666666666572,2.227360080004832
10.7,,39.47055,-0.37417,10.583333333333334,,00:10:35,0.0806225774799815,0,0.016666666666667496,2.2311144234678415
10.7,,39.47048,-0.37408,10.6,,00:10:36,0.1140175425104514,0,0.01666666666666572,2.2350693153735275
10.6,,39.47041,-0.37434,10.616666666666667,,00:10:37,0.2692582403569429,0,0.016666666666667496,2.2386920726785915
10.5,,39.47039,-0.37462,10.633333333333333,,00:10:38,0.2807133769523125,0,0.01666666666666572,2.243640483419643
10.5,,39.47039,-0.37465,10.65,,00:10:39,0.02999999999997449,0,0.016666666666667496,2.2484279006366625
10.4,,39.47033500152111,-0.375250000698004,10.666666666666666,,00:10:40,0.602516116204417,0,0.01666666666666572,2.252642596981336
10.3,,39.47028,-0.37585,10.683333333333334,,00:10:41,0.6025150037298003,0,0.016666666666667496,2.2564479259460577
10.2,,39.46997,-0.37593,10.7,,00:10:42,0.3201562118705911,0,0.01666666666666572,2.260129930457298
10.1,,39.469660000000005,-0.37585,10.716666666666669,,00:10:43,0.3201562118705911,0,0.016666666666669272,2.2636417810934044
10.0,,39.46965,-0.37585,10.733333333333333,,00:10:44,0.010000000003174137,0,0.016666666666663943,2.2671320881973016
9.9,,39.46941,-0.37587,10.75,,00:10:45,0.24083189157386936,0,0.016666666666667496,2.270529999524586
9.9,,39.46934,-0.37601,10.766666666666667,,00:10:46,0.1565247584254149,0,0.016666666666667496,2.273932713346948
9.8,,39.46934,-0.37602,10.783333333333331,,00:10:47,0.010000000000010001,0,0.016666666666663943,2.276930706330282
9.8,,39.46932,-0.37666,10.816666666666666,,00:10:49,0.6403124237432352,0,0.03333333333333499,2.2825259699304485
9.7,,39.469350000000006,-0.37694,10.85,,00:10:51,0.28160255680683444,0,0.033333333333333215,2.288430471219076
9.7,,39.46958000277229,-0.3777399974656052,10.866666666666667,,00:10:52,0.8324044811466694,0,0.016666666666667496,2.291516198007521
9.7,,39.46981,-0.37854,10.883333333333333,,00:10:53,0.8324078205985767,0,0.01666666666666572,2.295300011321355
9.7,,39.46968,-0.37865,10.9,,00:10:54,0.17029386366364263,0,0.016666666666667496,2.2986813127195833
