Elevation,HR,Latitude,Longitude,Minutes,Tempature,Timestamp,Distance,Time_Dif,TimeDif,cumDistance
20.0,101,39.456494,-0.355758,0.0,,00:00:00,0.0,0,,0.0
20.6,101,39.456501,-0.355734,0.0166666666666666,,00:00:01,0.0022026202949820867,0,0.0166666666666666,0.0022026202949820867
21.0,104,39.456513,-0.355684,0.05,,00:00:03,0.0044953206376846895,0,0.0333333333333334,0.006697940932666777
21.0,106,39.456521,-0.35566,0.0666666666666666,,00:00:04,0.0022443258365294192,0,0.016666666666666594,0.008942266769196195
21.6,109,39.456585,-0.35554,0.1666666666666666,,00:00:10,0.012521428582678719,0,0.1,0.021463695351874916
21.8,114,39.456611,-0.355495,0.2,,00:00:12,0.004825398176713003,0,0.03333333333333341,0.02628909352858792
22.0,114,39.456622,-0.355473,0.2166666666666666,,00:00:13,0.0022502498047704098,0,0.01666666666666658,0.02853934333335833
22.2,115,39.456644,-0.355437,0.25,,00:00:15,0.003941710374986276,0,0.03333333333333341,0.0324810537083446
22.2,118,39.456672,-0.3554,0.2833333333333333,,00:00:17,0.004447971047741644,0,0.033333333333333326,0.03692902475608625
22.2,121,39.456703,-0.355359,0.3166666666666666,,00:00:19,0.004926728579298627,0,0.03333333333333327,0.041855753335384875
22.6,124,39.456803,-0.355247,0.4166666666666667,,00:00:25,0.014700476877801074,0,0.10000000000000009,0.05655623021318595
22.6,127,39.456871,-0.355165,0.4833333333333333,,00:00:29,0.0103312423371447,0,0.0666666666666666,0.06688747255033065
23.0,127,39.456952,-0.355021,0.5833333333333334,,00:00:35,0.015295917337021129,0,0.10000000000000009,0.08218338988735177
23.2,127,39.456965,-0.354999,0.6,,00:00:36,0.002378460865856713,0,0.016666666666666607,0.08456185075320849
23.6,130,39.457036,-0.354899,0.6833333333333333,,00:00:41,0.011663500214544766,0,0.08333333333333337,0.09622535096775325
23.8,134,39.45713,-0.3548,0.7666666666666667,,00:00:46,0.013471927292723786,0,0.08333333333333337,0.10969727826047704
23.8,137,39.457169,-0.354763,0.8,,00:00:48,0.005375574544556078,0,0.033333333333333326,0.11507285280503311
23.8,137,39.45728,-0.354623,0.9,,00:00:54,0.017228142353482894,0,0.09999999999999998,0.132300995158516
23.6,138,39.4574,-0.354521,1.0,,00:01:00,0.015960323171043813,0,0.09999999999999998,0.14826131832955983
23.4,141,39.45746,-0.354481,1.05,,00:01:03,0.007503650800117637,0,0.050000000000000044,0.15576496912967747
23.2,144,39.457565,-0.354406,1.1333333333333333,,00:01:08,0.013333307693874811,0,0.08333333333333326,0.16909827682355227
22.6,144,39.4577,-0.354322,1.2333333333333334,,00:01:14,0.016653754076946827,0,0.10000000000000009,0.1857520309004991
22.4,144,39.457844,-0.35425,1.3333333333333333,,00:01:20,0.017163802972248843,0,0.09999999999999987,0.20291583387274795
22.0,146,39.457938,-0.354212,1.4,,00:01:24,0.01094962685628159,0,0.06666666666666665,0.21386546072902954
21.8,144,39.458086,-0.354163,1.5,,00:01:30,0.01698601890883798,0,0.10000000000000009,0.2308514796378675
22.0,147,39.458232,-0.354115,1.6,,00:01:36,0.016749316323746738,0,0.10000000000000009,0.24760079596161425
21.8,147,39.458373,-0.354064,1.7,,00:01:42,0.016278384678871084,0,0.09999999999999987,0.2638791806404853
21.6,147,39.458516,-0.353996,1.8,,00:01:48,0.016938692937410856,0,0.10000000000000009,0.28081787357789617
21.6,150,39.458621,-0.353966,1.8666666666666667,,00:01:52,0.011956170980940728,0,0.06666666666666665,0.2927740445588369
21.6,152,39.458771,-0.353925,1.9666666666666668,,00:01:58,0.017046608150844928,0,0.10000000000000009,0.3098206527096818
21.4,153,39.458906,-0.353857,2.066666666666667,,00:02:04,0.016106542253429414,0,0.10000000000000009,0.3259271949631112
21.6,153,39.459055,-0.353796,2.1666666666666665,,00:02:10,0.017376004917971245,0,0.09999999999999964,0.34330319988108243
21.4,152,39.459207,-0.353751,2.2666666666666666,,00:02:16,0.017337536283643998,0,0.10000000000000009,0.3606407361647264
21.4,152,39.459357,-0.353692,2.3666666666666667,,00:02:22,0.017431389636777376,0,0.10000000000000009,0.3780721258015038
21.2,152,39.459505,-0.353636,2.466666666666667,,00:02:28,0.017144717293383058,0,0.10000000000000009,0.39521684309488686
21.2,153,39.459618,-0.353523,2.5666666666666664,,00:02:34,0.015874245288977174,0,0.09999999999999964,0.41109108838386405
20.8,152,39.459701,-0.353385,2.65,,00:02:39,0.015017920885054622,0,0.08333333333333348,0.42610900926891865
20.6,152,39.459809,-0.353205,2.75,,00:02:45,0.019570762778109017,0,0.10000000000000009,0.4456797720470277
20.0,150,39.459942,-0.353076,2.85,,00:02:51,0.018475954519951522,0,0.10000000000000009,0.46415572656697923
19.8,151,39.459986,-0.353034,2.8833333333333333,,00:02:53,0.006077698781535009,0,0.033333333333333215,0.47023342534851426
19.4,152,39.460125,-0.352932,2.9833333333333334,,00:02:59,0.017764310022984363,0,0.10000000000000009,0.4879977353714986
19.4,151,39.460263,-0.352846,3.083333333333333,,00:03:05,0.017028679803162628,0,0.09999999999999964,0.5050264151746612
19.2,148,39.46033,-0.352845,3.1333333333333333,,00:03:08,0.007450554707930949,0,0.050000000000000266,0.5124769698825922
19.0,150,39.460478,-0.352923,3.2333333333333334,,00:03:14,0.017767045256046696,0,0.10000000000000009,0.5302440151386388
18.8,150,39.460502,-0.352938,3.25,,00:03:15,0.002963127396340838,0,0.016666666666666607,0.5332071425349797
18.6,149,39.460658,-0.353015,3.35,,00:03:21,0.018563278493922548,0,0.10000000000000009,0.5517704210289023
18.6,149,39.460772,-0.353086,3.45,,00:03:27,0.014065532566294182,0,0.10000000000000009,0.5658359535951965
18.4,146,39.460854,-0.35307,3.5166666666666666,,00:03:31,0.00922086595982964,0,0.06666666666666643,0.5750568195550261
18.6,147,39.460988,-0.353033,3.6166666666666663,,00:03:37,0.015234932597122488,0,0.09999999999999964,0.5902917521521486
18.8,146,39.461151,-0.352928,3.716666666666667,,00:03:43,0.020242573588439634,0,0.10000000000000053,0.6105343257405882
18.6,150,39.461229,-0.352847,3.783333333333333,,00:03:47,0.01111660725767137,0,0.06666666666666643,0.6216509329982596
18.6,150,39.461337,-0.352801,3.883333333333333,,00:03:53,0.012641684323145145,0,0.09999999999999964,0.6342926173214047
18.6,146,39.461496,-0.352756,3.983333333333333,,00:03:59,0.018097134879289295,0,0.10000000000000009,0.6523897522006941
18.6,149,39.461564,-0.352703,4.033333333333333,,00:04:02,0.008824662513379409,0,0.050000000000000266,0.6612144147140735
18.4,146,39.461615,-0.352683,4.066666666666666,,00:04:04,0.005925161238501539,0,0.033333333333333215,0.667139575952575
18.2,145,39.461776,-0.352617,4.166666666666667,,00:04:10,0.01877760689651214,0,0.10000000000000053,0.6859171828490871
18.4,147,39.461945,-0.35257,4.266666666666667,,00:04:16,0.019220226177718923,0,0.09999999999999964,0.705137409026806
18.4,147,39.462095,-0.35249,4.366666666666666,,00:04:22,0.018037843692877073,0,0.09999999999999964,0.7231752527196831
18.4,148,39.462264,-0.352441,4.466666666666667,,00:04:28,0.019256997230903204,0,0.10000000000000053,0.7424322499505863
18.4,145,39.462399,-0.352411,4.55,,00:04:33,0.015230638582687701,0,0.08333333333333304,0.757662888533274
18.4,146,39.462554,-0.35238,4.65,,00:04:39,0.017439463424122066,0,0.10000000000000053,0.7751023519573961
18.4,145,39.46271,-0.352335,4.75,,00:04:45,0.017771367280858076,0,0.09999999999999964,0.7928737192382541
18.6,144,39.462871,-0.352284,4.85,,00:04:51,0.018429969569377366,0,0.09999999999999964,0.8113036888076315
18.6,144,39.463042,-0.352221,4.95,,00:04:57,0.019768531361471553,0,0.10000000000000053,0.831072220169103
18.4,145,39.463197,-0.352168,5.05,,00:05:03,0.017825648218870022,0,0.09999999999999964,0.848897868387973
18.6,145,39.46335,-0.3521,5.15,,00:05:09,0.017986465807675777,0,0.10000000000000053,0.8668843341956488
18.4,147,39.463486,-0.352011,5.25,,00:05:15,0.016942970185635613,0,0.09999999999999964,0.8838273043812844
18.4,147,39.463609,-0.351909,5.35,,00:05:21,0.016239822099469836,0,0.09999999999999964,0.9000671264807543
18.4,146,39.46375,-0.351846,5.45,,00:05:27,0.016585061557155636,0,0.10000000000000053,0.9166521880379099
18.4,145,39.463891,-0.351807,5.55,,00:05:33,0.01603196132644349,0,0.09999999999999964,0.9326841493643534
18.6,149,39.463982,-0.351771,5.616666666666667,,00:05:37,0.010580151916413868,0,0.06666666666666732,0.9432643012807672
18.6,149,39.464122,-0.351713,5.716666666666667,,00:05:43,0.016344145946701655,0,0.09999999999999964,0.9596084472274689
18.6,149,39.464276,-0.351656,5.816666666666666,,00:05:49,0.017809408574659843,0,0.09999999999999964,0.9774178558021287
18.6,147,39.464408,-0.35157,5.916666666666667,,00:05:55,0.01642982817304075,0,0.10000000000000053,0.9938476839751694
18.6,150,39.464476,-0.351523,5.966666666666667,,00:05:58,0.008570376724109537,0,0.04999999999999982,1.002418060699279
18.6,151,39.464654,-0.351468,6.05,,00:06:03,0.020348044150181425,0,0.08333333333333304,1.0227661048494603
18.6,151,39.464806,-0.351395,6.15,,00:06:09,0.018025973569878524,0,0.10000000000000053,1.0407920784193387
18.6,151,39.464943,-0.351356,6.25,,00:06:15,0.015597253919348608,0,0.09999999999999964,1.0563893323386873
18.6,151,39.465097,-0.351314,6.35,,00:06:21,0.017499464070619405,0,0.09999999999999964,1.0738887964093067
18.4,150,39.465277,-0.351288,6.45,,00:06:27,0.02013914691371214,0,0.10000000000000053,1.094027943323019
18.4,150,39.465351,-0.351218,6.533333333333333,,00:06:32,0.01018899541079769,0,0.08333333333333304,1.1042169387338165
18.4,149,39.465352,-0.351017,6.633333333333333,,00:06:38,0.01725490078953433,0,0.09999999999999964,1.121471839523351
18.6,150,39.465355,-0.350774,6.733333333333333,,00:06:44,0.02086263580438639,0,0.10000000000000053,1.1423344753277374
18.6,149,39.465342,-0.350568,6.833333333333333,,00:06:50,0.01774274394125194,0,0.09999999999999964,1.1600772192689892
18.4,149,39.465257,-0.350362,6.933333333333334,,00:06:56,0.02005113429137477,0,0.10000000000000053,1.180128353560364
18.4,148,39.465202,-0.350196,7.033333333333333,,00:07:02,0.015506960692299954,0,0.09999999999999964,1.195635314252664
18.6,148,39.465139,-0.349968,7.133333333333334,,00:07:08,0.020788254699029042,0,0.10000000000000053,1.216423568951693
18.4,150,39.46508,-0.349743,7.233333333333333,,00:07:14,0.020398620950554707,0,0.09999999999999964,1.2368221899022476
18.2,151,39.465003,-0.349507,7.316666666666666,,00:07:19,0.02199412122408755,0,0.08333333333333304,1.258816311126335
18.2,152,39.464908,-0.349307,7.416666666666667,,00:07:25,0.020158261170954796,0,0.10000000000000053,1.2789745722972898
18.0,153,39.464858,-0.349099,7.516666666666667,,00:07:31,0.01870112452062017,0,0.09999999999999964,1.29767569681791
18.0,152,39.464822,-0.348876,7.616666666666667,,00:07:37,0.019557295040982157,0,0.10000000000000053,1.317232991858892
17.8,152,39.464741,-0.348649,7.716666666666667,,00:07:43,0.021467443118120974,0,0.09999999999999964,1.338700434977013
17.8,153,39.464643,-0.348444,7.816666666666666,,00:07:49,0.020698777350962358,0,0.09999999999999964,1.3593992123279754
17.6,152,39.464593,-0.348321,7.883333333333333,,00:07:53,0.011933160883794258,0,0.06666666666666643,1.3713323732117697
17.6,152,39.464555,-0.348155,7.983333333333333,,00:07:59,0.014863434277368949,0,0.10000000000000053,1.3861958074891387
