Elevation,HR,Latitude,Longitude,Minutes,Tempature,Timestamp,Distance,Time_Dif,TimeDif,cumDistance
7.6,132,39.456568,-0.355676,0.0,,00:00:00,0.0,0,,0.0
7.6,133,39.456579,-0.355653,0.0166666666666666,,00:00:01,0.002322783244079335,0,0.0166666666666666,0.002322783244079335
7.3,130,39.456681,-0.355474,0.1166666666666666,,00:00:07,0.019100025994128817,0,0.1,0.021422809238208152
7.2,127,39.456763,-0.355355,0.2,,00:00:12,0.013693699884835429,0,0.08333333333333341,0.03511650912304358
7.2,124,39.456803,-0.355297,0.2333333333333333,,00:00:14,0.00667672632812064,0,0.0333333333333333,0.04179323545116422
8.0,127,39.456865,-0.355218,0.2833333333333333,,00:00:17,0.009671104389037231,0,0.05000000000000002,0.051464339840201455
8.1,131,39.456885,-0.355191,0.3,,00:00:18,0.0032123373643615062,0,0.016666666666666663,0.054676677204562964
8.4,134,39.457003,-0.355031,0.4,,00:00:24,0.01899619335177559,0,0.10000000000000003,0.07367287055633856
8.4,138,39.457023,-0.355007,0.4166666666666667,,00:00:25,0.0030317233864168448,0,0.016666666666666663,0.0767045939427554
8.5,139,39.457181,-0.354849,0.5333333333333333,,00:00:32,0.022196140301082568,0,0.11666666666666664,0.09890073424383797
8.5,142,39.457206,-0.354825,0.55,,00:00:33,0.0034602449065531883,0,0.01666666666666672,0.10236097915039116
8.5,139,39.457284,-0.354759,0.6,,00:00:36,0.010360104964461837,0,0.04999999999999993,0.112721084114853
8.5,135,39.457311,-0.354735,0.6166666666666667,,00:00:37,0.00364131439761844,0,0.01666666666666672,0.11636239851247145
8.5,135,39.457468,-0.354583,0.7166666666666667,,00:00:43,0.02179593295550874,0,0.09999999999999998,0.13815833146798018
8.5,138,39.457629,-0.354456,0.8166666666666667,,00:00:49,0.02096135210058323,0,0.09999999999999998,0.1591196835685634
8.5,141,39.457684,-0.354424,0.85,,00:00:51,0.006704451942721978,0,0.033333333333333326,0.1658241355112854
8.5,141,39.457849,-0.354307,0.95,,00:00:57,0.020916884627906602,0,0.09999999999999998,0.186741020139192
8.5,139,39.45803,-0.35422,1.05,,00:01:03,0.021467553601151664,0,0.10000000000000009,0.20820857374034366
8.5,137,39.458213,-0.354155,1.15,,00:01:09,0.021099985197958228,0,0.09999999999999987,0.22930855893830188
8.5,138,39.458396,-0.354102,1.25,,00:01:15,0.02085119768244562,0,0.10000000000000009,0.2501597566207475
8.6,138,39.458578,-0.354034,1.35,,00:01:21,0.02106269042072964,0,0.10000000000000009,0.27122244704147713
8.6,136,39.458752,-0.353956,1.45,,00:01:27,0.02047398728506606,0,0.09999999999999987,0.2916964343265432
8.6,136,39.458936,-0.353887,1.55,,00:01:33,0.02130016456880994,0,0.10000000000000009,0.31299659889535314
8.6,137,39.459118,-0.353825,1.65,,00:01:39,0.02092576048354272,0,0.09999999999999987,0.33392235937889586
8.6,138,39.459297,-0.353748,1.75,,00:01:45,0.020972936216003695,0,0.10000000000000009,0.3548952955948996
8.6,139,39.459469,-0.35366,1.85,,00:01:51,0.02056360717811217,0,0.10000000000000009,0.37545890277301175
8.8,138,39.459631,-0.353549,1.95,,00:01:57,0.02037888331534458,0,0.09999999999999987,0.39583778608835635
8.7,137,39.459762,-0.353353,2.05,,00:02:03,0.022255819978900884,0,0.09999999999999987,0.4180936060672572
8.3,137,39.45989,-0.353151,2.15,,00:02:09,0.022434652167432026,0,0.10000000000000009,0.4405282582346892
8.0,134,39.460019,-0.352997,2.25,,00:02:15,0.01950762228679832,0,0.10000000000000009,0.46003588052148753
7.9,134,39.460223,-0.352919,2.35,,00:02:21,0.02365150257760845,0,0.10000000000000009,0.483687383099096
8.4,137,39.460398,-0.352952,2.4333333333333336,,00:02:26,0.01966426110473056,0,0.08333333333333348,0.5033516442038265
8.5,140,39.460592,-0.353035,2.533333333333333,,00:02:32,0.02271818852227887,0,0.09999999999999964,0.5260698327261054
