Timestamp,Latitude,Longitude,Elevation,HR,TP,Minutes,Distance,Time_Dif,TimeDif,cumDistance
16:35:35,39.456594,-0.355701,15.0,,,0.0,0.0,0,,0.0
16:35:36,39.456604,-0.355678,15.0,,,0.01666666666665151,0.0022662013580889554,0,0.01666666666665151,0.0022662013580889554
16:35:37,39.456615,-0.355655,15.0,,,0.03333333333330302,0.002322782375948801,0,0.01666666666665151,0.004588983734037756
16:35:38,39.456625,-0.355633,15.0,,,0.049999999999954525,0.0021917968153570997,0,0.01666666666665151,0.006780780549394856
16:35:39,39.456635,-0.35561,15.0,,,0.06666666666660603,0.002266200591867208,0,0.01666666666665151,0.009046981141262064
16:35:40,39.456659,-0.35556,15.0,,,0.08333333333325754,0.005054623247864532,0,0.01666666666665151,0.014101604389126596
16:35:41,39.456683,-0.35551,15.0,,,0.09999999999990905,0.005054621990228648,0,0.01666666666665151,0.019156226379355244
16:35:42,39.456714,-0.355456,15.0,,,0.11666666666667425,0.005777175710295438,0,0.016666666666765195,0.024933402089650683
16:35:43,39.456745,-0.355402,15.0,,,0.13333333333332575,0.005777174053494153,0,0.01666666666665151,0.030710576143144836
16:35:44,39.456781,-0.35535,15.0,,,0.14999999999997726,0.00599625948325252,0,0.01666666666665151,0.03670683562639736
16:35:45,39.456818,-0.355298,15.0,,,0.16666666666662877,0.006071054409435399,0,0.01666666666665151,0.04277789003583276
16:35:46,39.456858,-0.355248,16.0,,,0.18333333333328028,0.006181437554939032,0,0.01666666666665151,0.04895932759077179
16:35:47,39.456899,-0.355199,16.0,,,0.1999999999999318,0.006203381251689875,0,0.01666666666665151,0.05516270884246166
16:35:48,39.456939,-0.355151,16.0,,,0.2166666666665833,0.006063450554885841,0,0.01666666666665151,0.061226159397347504
16:35:49,39.45698,-0.355103,16.0,,,0.2333333333333485,0.006145479812811988,0,0.016666666666765195,0.0673716392101595
16:35:50,39.45702,-0.355057,16.0,,,0.25,0.005948081098012338,0,0.01666666666665151,0.07331972030817184
16:35:51,39.45706,-0.355011,16.0,,,0.2666666666666515,0.005948079591284728,0,0.01666666666665151,0.07926779989945656
16:35:52,39.4571,-0.354967,16.0,,,0.283333333333303,0.005835484433715686,0,0.01666666666665151,0.08510328433317225
16:35:53,39.45714,-0.354924,16.0,,,0.2999999999999545,0.0057802766655174805,0,0.01666666666665151,0.09088356099868973
16:35:54,39.457179,-0.354882,16.0,,,0.31666666666660603,0.005639883046995519,0,0.01666666666665151,0.09652344404568525
16:35:55,39.457219,-0.35484,16.0,,,0.33333333333325754,0.005725822793556686,0,0.01666666666665151,0.10224926683924193
16:35:56,39.457259,-0.3548,17.0,,,0.34999999999990905,0.00561927189503365,0,0.01666666666665151,0.10786853873427558
16:35:57,39.457299,-0.35476,17.0,,,0.36666666666667425,0.00561927068906111,0,0.016666666666765195,0.1134878094233367
16:35:58,39.45734,-0.354722,17.0,,,0.38333333333332575,0.0056060550096897485,0,0.01666666666665151,0.11909386443302644
16:35:59,39.45738,-0.354684,17.0,,,0.39999999999997726,0.0055160068105646965,0,0.01666666666665151,0.12460987124359114
16:36:00,39.457422,-0.354648,17.0,,,0.41666666666662877,0.005600284715180994,0,0.01666666666665151,0.13021015595877214
16:36:01,39.457464,-0.354612,17.0,,,0.4333333333332803,0.005600283686022758,0,0.01666666666665151,0.1358104396447949
16:36:02,39.457507,-0.354577,17.0,,,0.4499999999999318,0.005647194650206103,0,0.01666666666665151,0.141457634295001
16:36:03,39.45755,-0.354542,17.0,,,0.4666666666665833,0.0056471936619369055,0,0.01666666666665151,0.1471048279569379
16:36:04,39.457595,-0.354507,17.0,,,0.4833333333333485,0.0058366860218484985,0,0.016666666666765195,0.15294151397878641
16:36:05,39.45764,-0.354473,17.0,,,0.5,0.005792953541439714,0,0.01666666666665151,0.15873446752022613
16:36:06,39.457688,-0.354441,17.0,,,0.5166666666666515,0.006002916413739537,0,0.01666666666665151,0.16473738393396567
16:36:07,39.457736,-0.354409,17.0,,,0.533333333333303,0.006002915546746336,0,0.01666666666665151,0.170740299480712
16:36:08,39.457785,-0.354379,17.0,,,0.5499999999999545,0.006026637067421075,0,0.01666666666665151,0.17676693654813308
16:36:09,39.457835,-0.354349,17.0,,,0.566666666666606,0.006127349489336491,0,0.01666666666665151,0.18289428603746957
16:36:10,39.457884,-0.354322,17.0,,,0.5833333333332575,0.005921144069026862,0,0.01666666666665151,0.18881543010649643
16:36:11,39.457933,-0.354294,17.0,,,0.599999999999909,0.005955277241745884,0,0.01666666666665151,0.1947707073482423
16:36:12,39.457983,-0.35427,16.0,,,0.6166666666666742,0.005929273650671382,0,0.016666666666765195,0.2006999809989137
16:36:13,39.458033,-0.354245,16.0,,,0.6333333333333258,0.005959651189315658,0,0.01666666666665151,0.20665963218822936
16:36:14,39.458084,-0.354224,16.0,,,0.6499999999999773,0.005950632862904627,0,0.01666666666665151,0.21261026505113398
16:36:15,39.458136,-0.354202,16.0,,,0.6666666666666288,0.006082802664691097,0,0.01666666666665151,0.21869306771582508
16:36:16,39.458187,-0.354181,16.0,,,0.6833333333332803,0.0059506320546429915,0,0.01666666666665151,0.22464369977046808
16:36:17,39.458238,-0.354161,16.0,,,0.6999999999999318,0.005925185378392631,0,0.01666666666665151,0.2305688851488607
16:36:18,39.458288,-0.354143,16.0,,,0.7166666666665833,0.005770516086069012,0,0.01666666666665151,0.23633940123492972
16:36:19,39.458339,-0.354125,16.0,,,0.7333333333333485,0.005877724721906513,0,0.016666666666765195,0.24221712595683623
