Elevation,HR,Latitude,Longitude,Minutes,Tempature,Timestamp,Distance,Time_Dif,TimeDif,cumDistance
10.6,116,39.456577,-0.355609,0.0,23.0,00:00:00,0.0,0,,0.0
10.4,116,39.45659,-0.355587,0.0166666666666666,23.0,00:00:01,0.0023784689459441224,0,0.0166666666666666,0.0023784689459441224
9.2,118,39.456617,-0.35554,0.05,23.0,00:00:03,0.005029515885741669,0,0.0333333333333334,0.007407984831685792
9.8,121,39.456659,-0.355477,0.1,23.0,00:00:06,0.007146044375013231,0,0.05,0.014554029206699022
10.0,124,39.456684,-0.355429,0.1333333333333333,23.0,00:00:08,0.004970950561236736,0,0.0333333333333333,0.019524979767935758
10.0,127,39.456719,-0.35537,0.1666666666666666,23.0,00:00:10,0.006387841209034273,0,0.0333333333333333,0.025912820976970032
10.4,128,39.456754,-0.355317,0.2,23.0,00:00:12,0.005987589205215369,0,0.03333333333333341,0.0319004101821854
10.6,131,39.456837,-0.355174,0.2833333333333333,23.0,00:00:17,0.015359219949657544,0,0.08333333333333331,0.04725963013184295
10.0,132,39.456978,-0.354999,0.4,23.0,00:00:24,0.021715167656747053,0,0.1166666666666667,0.06897479778859
10.4,134,39.457113,-0.354811,0.55,23.0,00:00:33,0.02204212833437684,0,0.15000000000000002,0.09101692612296684
10.6,135,39.457262,-0.354666,0.6666666666666666,23.0,00:00:40,0.020723703374628304,0,0.11666666666666659,0.11174062949759514
10.2,136,39.45743,-0.354531,0.7833333333333333,22.0,00:00:47,0.021984157532378888,0,0.1166666666666667,0.13372478702997403
10.0,137,39.457596,-0.354421,0.8833333333333333,22.0,00:00:53,0.02073396339301918,0,0.09999999999999998,0.15445875042299323
9.4,136,39.457743,-0.354336,0.9833333333333332,22.0,00:00:59,0.0179006690987176,0,0.09999999999999987,0.17235941952171083
10.0,134,39.457932,-0.354255,1.1166666666666667,22.0,00:01:07,0.02213650200997647,0,0.13333333333333353,0.1944959215316873
9.4,135,39.458111,-0.354186,1.2333333333333334,22.0,00:01:14,0.020766718907550608,0,0.1166666666666667,0.2152626404392379
9.0,135,39.458291,-0.354115,1.35,22.0,00:01:21,0.020922690903855352,0,0.1166666666666667,0.23618533134309325
9.6,136,39.45848,-0.354048,1.4666666666666668,22.0,00:01:28,0.021788807131834915,0,0.1166666666666667,0.25797413847492817
10.2,133,39.458639,-0.35399,1.5666666666666669,22.0,00:01:34,0.018367816269666232,0,0.10000000000000009,0.2763419547445944
10.4,130,39.458665,-0.35398,1.5833333333333337,22.0,00:01:35,0.0030158460110681273,0,0.01666666666666683,0.2793578007556625
10.4,127,39.458716,-0.353945,1.6166666666666667,22.0,00:01:37,0.006417823402125462,0,0.03333333333333299,0.285775624157788
10.4,127,39.458741,-0.353931,1.6333333333333333,22.0,00:01:38,0.0030285829092794024,0,0.016666666666666607,0.2888042070670674
11.2,125,39.458925,-0.353849,1.75,22.0,00:01:45,0.021637127488182556,0,0.1166666666666667,0.3104413345552499
11.2,129,39.459004,-0.353836,1.8,22.0,00:01:48,0.00885501422021597,0,0.050000000000000044,0.31929634877546587
11.6,132,39.459085,-0.353817,1.85,22.0,00:01:51,0.009153304237414926,0,0.050000000000000044,0.3284496530128808
12.4,133,39.459261,-0.353737,1.9666666666666668,22.0,00:01:58,0.02074048142859903,0,0.1166666666666667,0.34919013444147984
12.6,133,39.459285,-0.353729,1.9833333333333332,22.0,00:01:59,0.0027556394352761214,0,0.016666666666666385,0.35194577387675596
12.8,131,39.459468,-0.353647,2.1,22.0,00:02:06,0.021531995021954808,0,0.11666666666666692,0.37347776889871076
13.6,134,39.45958,-0.353571,2.183333333333333,22.0,00:02:11,0.014059481095688962,0,0.08333333333333304,0.3875372499943997
13.8,134,39.459601,-0.353558,2.2,22.0,00:02:12,0.002588097082411562,0,0.01666666666666705,0.3901253470768113
15.0,134,39.459708,-0.353459,2.283333333333333,22.0,00:02:17,0.014621745248376986,0,0.08333333333333304,0.4047470923251883
15.6,133,39.459842,-0.353257,2.4,22.0,00:02:24,0.022863743275850286,0,0.1166666666666667,0.4276108356010386
15.4,134,39.459964,-0.353068,2.5,22.0,00:02:30,0.021149549777236116,0,0.10000000000000009,0.4487603853782747
15.2,133,39.460136,-0.352962,2.6166666666666667,22.0,00:02:37,0.021180124736062924,0,0.1166666666666667,0.4699405101143376
15.0,133,39.460331,-0.352954,2.7333333333333334,22.0,00:02:44,0.02169388496709458,0,0.1166666666666667,0.49163439508143214
15.8,133,39.460505,-0.353031,2.85,22.0,00:02:51,0.020446014854360768,0,0.1166666666666667,0.512080409935793
16.0,134,39.460604,-0.353086,2.9166666666666665,22.0,00:02:55,0.011978198393594113,0,0.06666666666666643,0.5240586083293871
16.6,134,39.460786,-0.353144,3.033333333333333,22.0,00:03:02,0.02084102804384264,0,0.1166666666666667,0.5448996363732298
15.8,131,39.460885,-0.35313,3.1166666666666667,22.0,00:03:07,0.011073714428162285,0,0.08333333333333348,0.5559733508013921
16.6,129,39.461055,-0.353022,3.25,22.0,00:03:15,0.021054516851499543,0,0.1333333333333333,0.5770278676528916
16.2,129,39.461221,-0.352903,3.3666666666666667,22.0,00:03:22,0.02109686030793784,0,0.1166666666666667,0.5981247279608295
16.2,131,39.461266,-0.352882,3.4,22.0,00:03:24,0.005318636147508808,0,0.033333333333333215,0.6034433641083383
16.0,134,39.461442,-0.352797,3.533333333333333,22.0,00:03:32,0.020886474676912445,0,0.1333333333333333,0.6243298387852507
16.6,134,39.461612,-0.352721,3.633333333333333,22.0,00:03:38,0.0199974308587265,0,0.09999999999999964,0.6443272696439772
17.2,132,39.461718,-0.352639,3.716666666666667,21.0,00:03:43,0.013728820864510966,0,0.08333333333333393,0.6580560905084882
17.8,132,39.461918,-0.352677,3.8,21.0,00:03:48,0.022476977945568796,0,0.08333333333333304,0.680533068454057
18.4,132,39.46202,-0.352645,3.85,21.0,00:03:51,0.011669832765917034,0,0.050000000000000266,0.6922029012199741
19.4,134,39.462222,-0.352586,3.983333333333333,21.0,00:03:59,0.023025368907255355,0,0.13333333333333286,0.7152282701272294
20.2,137,39.462355,-0.352547,4.066666666666666,21.0,00:04:04,0.015163169398460064,0,0.08333333333333348,0.7303914395256895
20.6,139,39.462438,-0.352511,4.116666666666666,21.0,00:04:07,0.00973287806034895,0,0.04999999999999982,0.7401243175860385
21.8,138,39.462626,-0.352436,4.233333333333333,21.0,00:04:14,0.021873701359430297,0,0.11666666666666714,0.7619980189454688
22.4,138,39.462813,-0.352322,4.366666666666666,21.0,00:04:22,0.022981378487526676,0,0.13333333333333286,0.7849793974329955
23.2,138,39.462857,-0.352291,4.4,21.0,00:04:24,0.005569517946673902,0,0.0333333333333341,0.7905489153796694
23.6,137,39.463048,-0.352231,4.516666666666667,21.0,00:04:31,0.02185390273773239,0,0.11666666666666625,0.8124028181174018
24.4,137,39.463163,-0.352183,4.583333333333333,21.0,00:04:35,0.013434937205308169,0,0.06666666666666643,0.82583775532271
25.4,137,39.463325,-0.352085,4.7,21.0,00:04:42,0.019881302111855115,0,0.11666666666666714,0.8457190574345651
25.8,137,39.46334,-0.352066,4.716666666666667,21.0,00:04:43,0.002332889116685328,0,0.016666666666666607,0.8480519465512504
26.6,138,39.463433,-0.351955,4.8,21.0,00:04:48,0.014061963233258413,0,0.08333333333333304,0.8621139097845087
27.6,138,39.46362,-0.351884,4.916666666666667,21.0,00:04:55,0.02166834617895891,0,0.11666666666666714,0.8837822559634677
27.8,138,39.463642,-0.351874,4.933333333333334,21.0,00:04:56,0.00259254197039638,0,0.016666666666666607,0.8863747979338641
29.0,139,39.463756,-0.351837,5.016666666666667,21.0,00:05:01,0.013068105437636776,0,0.08333333333333304,0.8994429033715009
29.8,140,39.463938,-0.351788,5.116666666666666,21.0,00:05:07,0.020670013275203653,0,0.09999999999999964,0.9201129166467046
30.2,139,39.46399,-0.351769,5.15,21.0,00:05:09,0.006007782626347058,0,0.0333333333333341,0.9261206992730516
31.4,138,39.464084,-0.351727,5.233333333333333,21.0,00:05:14,0.011056701664532298,0,0.08333333333333304,0.937177400937584
32.4,138,39.464223,-0.351662,5.333333333333333,21.0,00:05:20,0.016432480331966502,0,0.09999999999999964,0.9536098812695505
33.6,139,39.46441,-0.351562,5.45,21.0,00:05:27,0.02249579659825048,0,0.11666666666666714,0.976105677867801
34.8,140,39.464604,-0.351459,5.566666666666666,21.0,00:05:34,0.023313600638144884,0,0.11666666666666625,0.9994192785059459
35.4,141,39.464792,-0.351401,5.666666666666667,21.0,00:05:40,0.02148940134357786,0,0.10000000000000053,1.0209086798495237
36.0,142,39.464837,-0.351379,5.7,21.0,00:05:42,0.005348311265172768,0,0.033333333333333215,1.0262569911146966
36.0,142,39.464856,-0.351361,5.716666666666667,21.0,00:05:43,0.0026174685104935836,0,0.016666666666666607,1.0288744596251902
37.0,143,39.464913,-0.351319,5.766666666666667,21.0,00:05:46,0.007291839656482202,0,0.04999999999999982,1.0361662992816725
37.6,143,39.465114,-0.35124,5.866666666666667,21.0,00:05:52,0.023356403671501418,0,0.10000000000000053,1.059522702953174
38.2,145,39.465258,-0.351224,5.933333333333334,21.0,00:05:56,0.016070870158608943,0,0.06666666666666643,1.075593573111783
39.2,145,39.465384,-0.351174,6.0,21.0,00:06:00,0.014653279257059837,0,0.06666666666666643,1.0902468523688427
39.4,144,39.465409,-0.351134,6.033333333333333,21.0,00:06:02,0.004417946196678768,0,0.033333333333333215,1.0946647985655213
40.6,143,39.465369,-0.350865,6.15,21.0,00:06:09,0.023516338516915876,0,0.11666666666666714,1.1181811370824373
41.6,145,39.465365,-0.350648,6.25,21.0,00:06:15,0.01863334349691562,0,0.09999999999999964,1.136814480579353
41.8,144,39.465375,-0.350633,6.266666666666667,21.0,00:06:16,0.0017013168602158153,0,0.016666666666666607,1.1385157974395688
