Elevation,HR,Latitude,Longitude,Minutes,Tempature,Timestamp,Distance,Time_Dif,TimeDif,cumDistance
7.4,117,39.456654,-0.35548,0.0,,00:00:00,0.0,0,,0.0
7.2,117,39.456738,-0.355317,0.0833333333333333,,00:00:05,0.016825012721733177,0,0.0833333333333333,0.016825012721733177
8.3,117,39.45691,-0.35505,0.25,,00:00:15,0.029853822409229125,0,0.16666666666666669,0.0466788351309623
8.5,117,39.457096,-0.354818,0.4166666666666667,,00:00:25,0.02871385783709629,0,0.16666666666666669,0.07539269296805859
8.5,117,39.45753,-0.354397,0.75,,00:00:45,0.06029346299170036,0,0.3333333333333333,0.13568615595975894
8.5,135,39.457653,-0.354303,0.8333333333333334,,00:00:50,0.015880415937618523,0,0.08333333333333337,0.15156657189737746
8.5,135,39.45778,-0.35422,0.9166666666666666,,00:00:55,0.015817739766566866,0,0.08333333333333326,0.16738431166394432
8.5,141,39.45805,-0.35409,1.0833333333333333,,00:01:05,0.032030030044242506,0,0.16666666666666663,0.19941434170818684
8.5,141,39.4582,-0.354088,1.1666666666666667,,00:01:10,0.01668012278307142,0,0.08333333333333348,0.21609446449125824
8.5,141,39.458336,-0.354062,1.25,,00:01:15,0.015286361206229199,0,0.08333333333333326,0.23138082569748744
8.6,141,39.458466,-0.354015,1.3333333333333333,,00:01:20,0.015007947023046187,0,0.08333333333333326,0.24638877272053364
8.6,141,39.459225,-0.353702,1.8333333333333333,,00:01:50,0.08857157529429072,0,0.5,0.3349603480148243
8.8,141,39.45959,-0.35353,2.083333333333333,,00:02:05,0.043188890813941797,0,0.24999999999999978,0.3781492388287661
8.2,141,39.459923,-0.353,2.4166666666666665,,00:02:25,0.058663283023641766,0,0.3333333333333335,0.4368125218524079
7.9,141,39.46004,-0.352908,2.5,,00:02:30,0.015219618880629364,0,0.08333333333333348,0.4520321407330372
7.7,141,39.460175,-0.352873,2.583333333333333,,00:02:35,0.015309085400445642,0,0.08333333333333304,0.46734122613348283
8.1,141,39.460316,-0.352883,2.6666666666666665,,00:02:40,0.015701971208316012,0,0.08333333333333348,0.48304319734179885
8.4,141,39.460457,-0.352915,2.75,,00:02:45,0.01591734657682007,0,0.08333333333333348,0.49896054391861894
8.8,141,39.4607,-0.353068,2.9166666666666665,,00:02:55,0.030043756399018923,0,0.16666666666666652,0.5290043003176379
9.0,141,39.46082,-0.353093,3.0,,00:03:00,0.013514895020105154,0,0.08333333333333348,0.5425191953377431
9.6,141,39.461063,-0.353037,3.1666666666666665,,00:03:10,0.027444720556853566,0,0.16666666666666652,0.5699639158945966
9.9,141,39.461193,-0.352937,3.25,,00:03:15,0.016812402233156862,0,0.08333333333333348,0.5867763181277534
10.3,104,39.46144,-0.352785,3.4166666666666665,,00:03:25,0.030407397998229512,0,0.16666666666666652,0.617183716125983
11.4,104,39.461803,-0.35251,3.6666666666666665,,00:03:40,0.04676089544949137,0,0.25,0.6639446115754744
12.0,102,39.461983,-0.352552,3.75,,00:03:45,0.020337258758230146,0,0.08333333333333348,0.6842818703337045
11.3,102,39.462513,-0.352378,4.083333333333333,,00:04:05,0.06079689220183475,0,0.33333333333333304,0.7450787625355392
10.1,128,39.462887,-0.352193,4.333333333333333,,00:04:20,0.04451625909861448,0,0.25,0.7895950216341536
9.8,128,39.463024,-0.352148,4.416666666666667,,00:04:25,0.015715891096508304,0,0.08333333333333393,0.8053109127306619
10.2,128,39.46352,-0.351922,4.75,,00:04:45,0.05846559196269383,0,0.33333333333333304,0.8637765046933558
10.3,128,39.463863,-0.351752,5.0,,00:05:00,0.04083657945478325,0,0.25,0.904613084148139
10.5,128,39.463963,-0.351687,5.083333333333333,,00:05:05,0.012441015858240126,0,0.08333333333333304,0.9170541000063791
10.5,121,39.464188,-0.351588,5.25,,00:05:15,0.026422916820960797,0,0.16666666666666696,0.9434770168273399
10.4,93,39.464554,-0.351372,5.5,,00:05:30,0.04472243755161006,0,0.25,0.98819945437895
10.5,93,39.464848,-0.351288,5.666666666666667,,00:05:40,0.03347714188201911,0,0.16666666666666696,1.021676596260969
10.7,106,39.46499,-0.351263,5.75,,00:05:45,0.01593485894529214,0,0.08333333333333304,1.0376114552062612
11.0,106,39.46516,-0.351268,5.833333333333333,,00:05:50,0.01890800987830694,0,0.08333333333333304,1.0565194650845682
11.5,106,39.465305,-0.351223,5.916666666666667,,00:05:55,0.016579570070253173,0,0.08333333333333393,1.0730990351548213
12.0,113,39.465405,-0.35112,6.0,,00:06:00,0.014206405279599078,0,0.08333333333333304,1.0873054404344205
13.8,113,39.465317,-0.350462,6.333333333333333,,00:06:20,0.05732630995378105,0,0.33333333333333304,1.1446317503882015
14.9,113,39.46515,-0.349987,6.583333333333333,,00:06:35,0.044805004047571845,0,0.25,1.1894367544357733
14.5,94,39.465073,-0.349652,6.75,,00:06:45,0.03000519269581684,0,0.16666666666666696,1.2194419471315903
13.1,90,39.46492,-0.349337,6.916666666666667,,00:06:55,0.03194750600510684,0,0.16666666666666696,1.2513894531366971
