Elevation,HR,Latitude,Longitude,Minutes,Tempature,Timestamp,Distance,Time_Dif,TimeDif,cumDistance
1.0,60,39.456536,-0.355696,0.0,21.0,00:00:00,0.0,0,,0.0
-23.6,64,39.45655,-0.355665,0.0166666666666666,21.0,00:00:01,0.003083327471808496,0,0.0166666666666666,0.003083327471808496
-36.6,68,39.456564,-0.355639,0.0333333333333333,21.0,00:00:02,0.002721429686745951,0,0.016666666666666698,0.005804757158554447
-43.2,69,39.456579,-0.355607,0.05,21.0,00:00:03,0.0032140065859521953,0,0.016666666666666705,0.009018763744506643
-46.4,71,39.456598,-0.355575,0.0666666666666666,21.0,00:00:04,0.003465743938156673,0,0.016666666666666594,0.012484507682663315
-48.2,78,39.456631,-0.355516,0.1,21.0,00:00:06,0.0062548407699509236,0,0.03333333333333341,0.01873934845261424
-48.4,83,39.456643,-0.355486,0.1166666666666666,21.0,00:00:07,0.002900744204432713,0,0.016666666666666594,0.021640092657046955
-48.6,88,39.456656,-0.35546,0.1333333333333333,21.0,00:00:08,0.0026593852448075495,0,0.016666666666666705,0.024299477901854504
-48.4,95,39.45667,-0.355432,0.15,21.0,00:00:09,0.002863952949098446,0,0.01666666666666669,0.02716343085095295
-48.4,99,39.456688,-0.355401,0.1666666666666666,21.0,00:00:10,0.003330091968869816,0,0.016666666666666607,0.030493522819822764
-48.0,106,39.456729,-0.355336,0.2,21.0,00:00:12,0.007206012261060318,0,0.03333333333333341,0.037699535080883084
-48.0,110,39.45675,-0.355304,0.2166666666666666,21.0,00:00:13,0.0036056196737036996,0,0.01666666666666658,0.041305154754586786
-48.4,112,39.456821,-0.35519,0.2833333333333333,21.0,00:00:17,0.012574616019414493,0,0.06666666666666674,0.05387977077400128
-48.4,118,39.456853,-0.355125,0.3166666666666666,21.0,00:00:19,0.006618394437885493,0,0.03333333333333327,0.06049816521188677
-48.0,122,39.45691,-0.355034,0.3666666666666666,21.0,00:00:22,0.010060321397099808,0,0.04999999999999999,0.07055848660898659
-47.8,125,39.456946,-0.354982,0.4,21.0,00:00:24,0.00599625160469491,0,0.03333333333333344,0.0765547382136815
