Latitude,Longitude,Seconds,Lat,Lon,Dist2,Pace,Distance,TimeDif,cumDistance
39.47811667071132,-0.3698499921611264,9410,39.478117,-0.36985,3.662141038393495e-05,6.055358058437155,0.07431435030881425,27.0,1.4903588517993205
39.47854,-0.37052,9437,39.478526,-0.370509,0.0018206397436043463,6.055362345354758,0.07431429769767749,27.0,1.4919899997089894
39.478910000000006,-0.37131,9466,39.478921,-0.37132,0.0014942238798278302,6.094283025008519,0.07930930207046918,29.0,1.4963950374645403
39.479130000000005,-0.37157,9478,39.479135,-0.371586,0.0014815031701615078,6.040150408004679,0.033111758232866356,12.0,1.497676594938384
39.4797,-0.37211,9506,39.479669,-0.372117,0.003499005713941476,5.943410791858149,0.0785183260941598,28.0,1.5022018399010297
39.48006,-0.3729,9534,39.480053,-0.372891,0.001096584042564882,5.926886135255656,0.07873724178548556,28.0,1.5037630591080167
39.4802,-0.37314,9544,39.480182,-0.373165,0.0029342398841235243,6.455194758177966,0.025818998947401202,10.0,1.5053242782710536
39.48061500140851,-0.3737299963627279,9568,39.48059,-0.37375,0.0032674129827729636,5.838637115237089,0.06850913870912104,24.0,1.5096683133985012
39.48103,-0.37432,9593,39.481,-0.374327,0.0033895138523974324,6.081911250640301,0.06850916586834446,25.0,1.5113332233357106
39.48138,-0.3748,9614,39.48137,-0.374832,0.0029629242660113822,6.175907664015288,0.0566718317437483,21.0,1.5148831244003904
39.48163,-0.37511,9627,39.481599,-0.375139,0.004251661397162521,5.630818198561586,0.038478718194456175,13.0,1.5167968007844586
39.48185,-0.37548,9641,39.481816,-0.375496,0.0040222806662656,5.820998484403642,0.040084761052336576,14.0,1.5185798505829038
39.48226500247638,-0.3762449953800742,9670,39.482254,-0.376265,0.002108157141181928,6.022906715339007,0.08024918136327608,29.0,1.5233488368499033
39.48268,-0.37701,9700,39.482658,-0.377041,0.0036142098253487977,6.230592255154343,0.08024919293769676,30.0,1.524799152477041
39.48274,-0.3772,9705,39.482717,-0.377187,0.002790246900591786,4.729937892749723,0.01761827221052325,5.0,1.5300360029135691
39.48279500205471,-0.3778949992744425,9727,39.482806,-0.377888,0.0013624805078583922,6.115293059072311,0.05995896895287794,22.0,1.5320873331808076
39.482850000000006,-0.37859,9749,39.482832,-0.378576,0.002334449759468076,6.115289962951166,0.059958999309612085,22.0,1.5341113580215537
39.4829,-0.37939,9775,39.48288,-0.379402,0.0024507837518484028,6.29092968895278,0.06888224074325462,26.0,1.53953816534451
39.48293,-0.38041,9808,39.482939,-0.380417,0.0011672244640479692,6.278409859602526,0.08760179922927483,33.0,1.5417823943255606
39.48297,-0.38071,9816,39.482906,-0.380687,0.007385154518326378,5.103102571045676,0.02612789601562173,8.0,1.5439849155985352
39.48282,-0.38149,9842,39.482763,-0.3815,0.006395951058804305,6.281314573931413,0.06898768215362829,26.0,1.5487417038013431
39.48274,-0.38171,9849,39.482726,-0.381723,0.0019152445806025582,5.589771509563511,0.020871455383652492,7.0,1.5502053843381078
39.48266,-0.3821,9861,39.482629,-0.382073,0.004153493896067801,5.774913637303995,0.03463255254729135,12.0,1.5558594914858712
39.482420000000005,-0.38269,9883,39.48238,-0.382659,0.00518277332024014,6.406084615676845,0.05723724999969047,22.0,1.5576331662366973
39.48216500149336,-0.3832850022347467,9906,39.482125,-0.383286,0.004448787314891536,6.562948589676182,0.058408705796710675,23.0,1.5594379380525498
39.481910000000006,-0.38388,9926,39.481875,-0.383855,0.004444072829172386,5.706912837826371,0.05840869534995249,20.0,1.5636743069880588
39.48178,-0.38413,9934,39.48174,-0.384039,0.008987640629597305,5.153779628258502,0.025870980707490512,8.0,1.565118124900981
