Latitude,Longitude,Seconds,Lat,Lon,Dist2,Pace,Distance,TimeDif,cumDistance
39.479290000000006,-0.37551,5196,39.479287,-0.375509,0.0003444487765822542,3.0904225472393767,0.05393005782188175,10.0,28.848005349538127
39.47892,-0.3747,5211,39.478924,-0.374661,0.003376665085995712,3.0947721136531756,0.08078139223792197,15.0,28.928786741776047
39.47862000220998,-0.373979996870468,5223,39.478631,-0.373982,0.0012349243265440371,2.8480101691400916,0.07022446835587902,12.0,28.999011210131926
39.47832,-0.37326,5236,39.478308,-0.373244,0.001914745183253764,3.085344557457818,0.07022446363176696,13.0,29.069235673763693
39.477903337210336,-0.3725899920250906,5249,39.477895,-0.372591,0.0009310833988516728,2.93398887974008,0.07384713287865666,13.0,29.14308280664235
39.47748667057579,-0.371919992076837,5262,39.477496,-0.371912,0.0012436606067681478,2.9339888797460927,0.07384713287850532,13.0,29.216929939520856
39.477070000000005,-0.37125,5275,39.477079,-0.371261,0.001375816342247724,2.9339882005401248,0.07384714997380698,13.0,29.290777089494664
39.476850000000006,-0.37098,5281,39.476852,-0.371008,0.0024134884791605672,2.9676579279053605,0.03369660602041902,6.0,29.324473695515085
39.47617,-0.37025,5299,39.476145,-0.37031,0.005852199254308258,3.055028666343468,0.0981987512277804,18.0,29.422672446742865
39.47586,-0.36999,5306,39.475837,-0.370087,0.008709518819740804,2.8411296924862075,0.0410634780155264,7.0,29.463735924758392
39.4755,-0.36986,5314,39.475471,-0.369877,0.003539412013735066,3.208508290721693,0.041556175409895084,8.0,29.505292100168287
39.475190000000005,-0.36978,5320,39.475179,-0.369814,0.0031642314122872256,2.8451383732750584,0.03514767539579782,6.0,29.540439775564085
39.47470500001126,-0.3697900000694927,5329,39.474725,-0.369812,0.0029174276168547654,2.781054884783747,0.05393636811006838,9.0,29.594376143674154
39.47422,-0.3698,5339,39.474229,-0.369826,0.0024457625225121644,3.090060845079819,0.05393637051906061,10.0,29.648312514193215
39.47411,-0.36984,5341,39.474128,-0.369825,0.002379846206501821,2.623811870362938,0.012704162866952235,2.0,29.661016677060168
39.47373,-0.36985,5349,39.473735,-0.369845,0.0007023468216907381,3.154863563369792,0.042262789073172005,8.0,29.70327946613334
39.47297,-0.37001,5365,39.472951,-0.370024,0.0024305442550265296,3.1146544152898814,0.0856167751252262,16.0,29.788896241258566
39.472750000000005,-0.37007,5369,39.472773,-0.370105,0.003945371065421565,2.6667610880606945,0.02499911483077308,4.0,29.81389535608934
39.47272,-0.37012,5370,39.472738,-0.37014,0.002636864475124695,3.066154248012755,0.0054356908748047226,1.0,29.819331046964145
39.4727,-0.37021,5371,39.472722,-0.370195,0.0027644212664182,2.0732690882430096,0.008038834303361374,1.0,29.827369881267504
39.47290501323685,-0.3712249910348835,5387,39.472926,-0.371189,0.003871604244863912,2.9611805132067164,0.09005417450146883,16.0,29.917424055768972
39.47311001765021,-0.3722399880515327,5404,39.473153,-0.372225,0.004949533956867277,3.1462542952709676,0.0900541745017885,17.0,30.00747823027076
39.47331501323995,-0.373254991049769,5420,39.47333,-0.373228,0.0028538304745407096,2.961180513201706,0.0900541745016212,16.0,30.09753240477238
39.47352,-0.37427,5436,39.47349,-0.374213,0.005921528039379986,2.9611805990237596,0.09005417189163713,16.0,30.187586576664017
39.473490000000005,-0.3743,5437,39.473459,-0.374255,0.005176973898638117,3.9549896133264677,0.004214086077624018,1.0,30.19180066274164
