Timestamp,Latitude,Longitude,Elevation,HR,TP,Minutes,Seconds,Distance,Time_Dif,TimeDif,cumDistance
16:03:12,39.457526,-0.354709,16.6,,,0.0,0,0.0,0,,0.0
16:03:13,39.457548,-0.354693,16.6,,,0.01666666666665151,1,0.002805573306458025,0,1.0,0.002805573306458025
16:03:14,39.457571,-0.354678,16.6,,,0.03333333333330302,2,0.002863414212110785,0,1.0,0.00566898751856881
16:03:15,39.457596,-0.354664,16.5,,,0.049999999999954525,3,0.0030285907555219795,0,1.0,0.00869757827409079
16:03:16,39.457619,-0.354648,16.5,,,0.06666666666660603,4,0.0029030383700486433,0,1.0,0.011600616644139432
16:03:17,39.457643,-0.354632,16.5,,,0.08333333333325754,5,0.003001458504900925,0,1.0,0.014602075149040357
16:03:18,39.457666,-0.354616,16.4,,,0.09999999999990905,6,0.0029030379318161848,0,1.0,0.017505113080856543
16:03:19,39.457689,-0.354599,16.3,,,0.11666666666667425,7,0.002944632762120385,0,1.0,0.02044974584297693
16:03:20,39.457713,-0.354584,16.3,,,0.13333333333332575,8,0.00296314982016226,0,1.0,0.02341289566313919
16:03:21,39.457736,-0.35457,16.2,,,0.14999999999997726,9,0.002825841854481314,0,1.0,0.026238737517620504
16:03:22,39.457759,-0.354555,16.2,,,0.16666666666662877,10,0.0028634126485349303,0,1.0,0.029102150166155433
16:03:23,39.457781,-0.354543,16.1,,,0.18333333333328028,11,0.0026543754980533152,0,1.0,0.03175652566420875
16:03:24,39.457804,-0.35453,16.1,,,0.1999999999999318,12,0.0027904068322408652,0,1.0,0.03454693249644962
16:03:25,39.457828,-0.354515,16.0,,,0.2166666666665833,13,0.0029631488961759057,0,1.0,0.03751008139262552
16:03:26,39.457851,-0.354501,15.9,,,0.2333333333332348,14,0.002825841009252745,0,1.0,0.04033592240187827
16:03:27,39.457876,-0.354487,15.9,,,0.25,15,0.0030285888367981365,0,1.0,0.043364511238676406
16:03:28,39.457901,-0.354473,15.8,,,0.2666666666666515,16,0.0030285886654815766,0,1.0,0.046393099904157985
16:03:29,39.457926,-0.354461,15.7,,,0.283333333333303,17,0.002964637053541082,0,1.0,0.049357736957699065
16:03:30,39.45795,-0.354452,15.7,,,0.2999999999999545,18,0.00277828513178964,0,1.0,0.052136022089488705
16:03:31,39.457974,-0.354443,15.6,,,0.31666666666660603,19,0.002778285057697377,0,1.0,0.054914307147186085
16:03:32,39.457999,-0.354436,15.6,,,0.33333333333325754,20,0.00284409166968947,0,1.0,0.057758398816875556
16:03:33,39.458025,-0.354428,15.5,,,0.34999999999990905,21,0.002971531078831525,0,1.0,0.06072992989570708
16:03:34,39.458051,-0.354418,15.4,,,0.36666666666667425,22,0.0030158481668247222,0,1.0,0.0637457780625318
16:03:35,39.458078,-0.354406,15.4,,,0.38333333333332575,23,0.0031741072252831357,0,1.0,0.06691988528781494
16:03:36,39.458106,-0.354395,15.3,,,0.39999999999997726,24,0.003253531648408003,0,1.0,0.07017341693622293
16:03:37,39.458132,-0.354382,15.3,,,0.41666666666662877,25,0.0030990179775735134,0,1.0,0.07327243491379645
16:03:38,39.458159,-0.35437,15.3,,,0.4333333333332803,26,0.003174106836176182,0,1.0,0.07644654174997263
16:03:39,39.458185,-0.354358,15.2,,,0.4499999999999318,27,0.0030691439966037703,0,1.0,0.0795156857465764
16:03:40,39.458211,-0.354346,15.2,,,0.4666666666665833,28,0.003069143868099478,0,1.0,0.08258482961467588
16:03:41,39.458236,-0.354335,15.2,,,0.4833333333332348,29,0.0029359051851625385,0,1.0,0.08552073479983842
16:03:42,39.458262,-0.354324,15.1,,,0.5,30,0.0030414007467932905,0,1.0,0.08856213554663171
16:03:43,39.458287,-0.354313,15.1,,,0.5166666666666515,31,0.00293590496326878,0,1.0,0.09149804050990049
16:03:44,39.458311,-0.354303,15.1,,,0.533333333333303,32,0.0028033735865832677,0,1.0,0.09430141409648375
16:03:45,39.458335,-0.354293,15.1,,,0.5499999999999545,33,0.002803373495932635,0,1.0,0.09710478759241639
16:03:46,39.458359,-0.354282,15.1,,,0.566666666666606,34,0.0028308452482029497,0,1.0,0.09993563284061935
16:03:47,39.458382,-0.354271,15.1,,,0.5833333333332575,35,0.0027262724676815585,0,1.0,0.10266190530830091
16:03:48,39.458406,-0.354262,15.1,,,0.599999999999909,36,0.0027782837233975254,0,1.0,0.10544018903169844
16:03:49,39.458429,-0.354251,15.1,,,0.6166666666666742,37,0.0027262722474673765,0,1.0,0.10816646127916582
16:03:50,39.458452,-0.354239,15.1,,,0.6333333333333258,38,0.002757187491480586,0,1.0,0.11092364877064641
16:03:51,39.458474,-0.354227,15.1,,,0.6499999999999773,39,0.0026543715178763637,0,1.0,0.11357802028852278
16:03:52,39.458497,-0.354214,15.1,,,0.6666666666666288,40,0.002790402387402253,0,1.0,0.11636842267592502
16:03:53,39.458521,-0.354202,15.1,,,0.6833333333332803,41,0.002860629900375419,0,1.0,0.11922905257630044
16:03:54,39.458544,-0.35419,15.1,,,0.6999999999999318,42,0.0027571869840216754,0,1.0,0.12198623956032212
16:03:55,39.458568,-0.354178,15.1,,,0.7166666666665833,43,0.0028606296491985256,0,1.0,0.12484686920952065
16:03:56,39.458592,-0.354166,15.1,,,0.7333333333332348,44,0.002860629522595369,0,1.0,0.127707498732116
16:03:57,39.458615,-0.354156,15.1,,,0.75,45,0.002697735043471794,0,1.0,0.1304052337755878
16:03:58,39.458637,-0.354146,15.1,,,0.7666666666666515,46,0.002592562413166562,0,1.0,0.13299779618875435
