Latitude,Longitude,Elevation,HR,TP,Distance,cumDistance
39.45745,-0.35457,15.22,,,0.0,0.0
39.45787,-0.35427,14.31,,,0.05333320441658107,0.05333320441658107
39.45872000053986,-0.3539200042676615,14.090000000000002,,,0.09917712965624208,0.15251033407282316
39.45957000000001,-0.35357,14.24,,,0.09917712608093454,0.2516874601537577
39.45966000000001,-0.35347,14.23,,,0.013185375609439479,0.2648728357631972
39.45967,-0.35328,13.670000000000002,,,0.016349453181322995,0.28122228894452017
39.45971,-0.35314,13.46,,,0.012815649395080472,0.2940379383396006
39.45978,-0.353,13.22,,,0.014319318062848233,0.3083572564024489
39.45983,-0.35292,13.13,,,0.008836321237760793,0.31719357764020967
39.45996,-0.35281,12.910000000000002,,,0.017266644972819083,0.33446022261302877
39.46011,-0.35275,12.910000000000002,,,0.017456513029409503,0.35191673564243825
39.460240000000006,-0.35274,12.83,,,0.014480811031577065,0.3663975466740153
39.460330000000006,-0.35277,12.83,,,0.010333638547031303,0.3767311852210466
39.46043,-0.35282,12.69,,,0.01191924969769923,0.38865043491874585
39.46057,-0.35294,12.69,,,0.018667362588219088,0.40731779750696495
39.46066,-0.3531,12.42,,,0.016994873005188097,0.42431267051215305
39.461180000000006,-0.35291,12.29,,,0.060078019944294785,0.48439069045644784
39.46167499992725,-0.3527050015626284,12.25,,,0.05778651618831488,0.5421772066447628
39.46217,-0.3525,12.44,,,0.0577865751901476,0.5999637818349104
39.462140000000005,-0.3522,11.260000000000002,,,0.025969372619968133,0.6259331544548785
39.46187168612538,-0.351246648289829,10.26,,,0.08711147216835752,0.713044626623236
39.4616033644671,-0.3502933039302757,9.86,,,0.08711147216730905,0.8001560987905451
39.46133503502527,-0.3493399669214263,9.12,,,0.08711147216847853,0.8872675709590236
39.46106669780008,-0.3483866372633672,9.91,,,0.08711147216726206,0.9743790431262858
39.46079835279159,-0.3474333149561849,10.6,,,0.08711147216823778,1.0614905152945235
39.460530000000006,-0.34648,9.63,,,0.08711147216454038,1.1486019874590638
39.46027835814892,-0.3454033138552726,8.77,,,0.09657549279590896,1.2451774802549729
39.46002670637006,-0.3443266354958803,6.16,,,0.0965754927960195,1.3417529730509923
39.4597750446636,-0.3432499649220039,5.04,,,0.09657549279579764,1.4383284658467899
39.4595233730297,-0.3421733021338248,5.69,,,0.09657549279580789,1.5349039586425977
39.45927169146852,-0.3410966471315241,4.920000000000001,,,0.0965754927954667,1.6314794514380644
39.45902,-0.34002,3.95,,,0.0965754851969267,1.728054936634991
39.459030000000006,-0.34002,7.5,,,0.0011119492665983002,1.7291668859015894
39.45893000773072,-0.3390699972871661,6.83,,,0.0823134109110152,1.8114802968126047
39.45883000773246,-0.3381199973038435,6.94,,,0.0823134109112201,1.8937937077238247
39.45873,-0.33717,6.7700000000000005,,,0.0823134152631431,1.9761071229869678
39.45879667429093,-0.3362266684250657,6.0600000000000005,,,0.08132518398465367,2.0574323069716214
39.45886334096105,-0.3352833350430665,6.16,,,0.08132518398483052,2.138757490956452
39.45893,-0.33434,6.17,,,0.0813251714151892,2.220082662371641
39.45915000205545,-0.3336400023483536,5.840000000000001,,,0.06488402233705193,2.284966684708693
39.45937,-0.33294,6.390000000000001,,,0.0648840475328469,2.34985073224154
39.45945,-0.33288,6.960000000000001,,,0.010279343610524346,2.360130075852064
39.459520000000005,-0.33288,6.960000000000001,,,0.0077836448661881,2.367913720718252
39.45975000000001,-0.33295,7.31,,,0.026271403450926996,2.3941851241691787
39.459880000000005,-0.33296,7.29,,,0.014480811294112734,2.4086659354632913
39.460060000000006,-0.33293,7.1000000000000005,,,0.020180111998553,2.4288460474618443
39.460080000000005,-0.33284,7.320000000000001,,,0.008040182853401977,2.4368862303152463
39.46018,-0.33274,6.960000000000001,,,0.014047961829352196,2.4509341921445986
39.460786670582216,-0.3320633451356737,7.08,,,0.08902347462390403,2.539957666768503
39.46139333724322,-0.3313866784755125,7.07,,,0.08902347462375254,2.6289811413922552
39.462,-0.33071,6.95,,,0.0890234771387997,2.718004618531055
39.46225,-0.33038,6.8100000000000005,,,0.039690546716409154,2.757695165247464
39.46247,-0.32996,6.640000000000001,,,0.04357125977806104,2.801266425025525
39.46266000000001,-0.3295,6.880000000000001,,,0.044785927223587235,2.8460523522491123
39.462610000000005,-0.32938,6.880000000000001,,,0.011706160124910776,2.8577585123740232
39.462610000000005,-0.32918,7.050000000000001,,,0.01716937533836078,2.874927887712384
39.462680000000006,-0.32902,7.300000000000001,,,0.01578761873506345,2.8907155064474477
39.462810000000005,-0.32892,7.300000000000001,,,0.0168123003897555,2.9075278068372032
39.46289,-0.32878,7.59,,,0.014952473006142749,2.922480279843346
39.462950000000006,-0.32852,7.57,,,0.023295876755018635,2.9457761565983644
39.46296,-0.32851,7.57,,,0.00140477488847688,2.9471809314868413
39.46309,-0.32737,7.51,,,0.09892667427167483,3.0461076057585164
39.4631,-0.32641,7.55,,,0.08241992846044736,3.128527534218964
39.46316,-0.3264,7.790000000000001,,,0.006726699025181685,3.1352542332441455
39.46316000154156,-0.3258000000534963,7.710000000000001,,,0.05150771437455312,3.186761947618699
39.46316,-0.3252,7.46,,,0.05150772355945828,3.238269671178157
39.46321,-0.3251,7.34,,,0.010227728189384933,3.2484973993675417
39.463260000000005,-0.3251,7.34,,,0.0055597463329915,3.254057145700533
39.46332,-0.32501,7.2,,,0.010208075930712043,3.264265221631245
39.46349,-0.32497,7.1000000000000005,,,0.019212491692899243,3.283477713324144
39.464159999922494,-0.3249250004390165,7.04,,,0.07460067724579869,3.358078390569943
