file,lines,maxDist,minDist,meanDist,difDist,sumDist,maxTime,minTime,meanTime,difTime,sumTime
1996679765.csv,2023,0.04102190577344131,0.0,0.021030858896021173,0.04102190577344131,42.545427546650835,0.23333333333329165,0.016666666666623087,0.10786350148367953,0.21666666666666856,218.1
1996680172.csv,2089,0.027773144342861527,0.0,0.020385618233226502,0.027773144342861527,42.58555648921016,0.39999999999997726,0.016666666666623087,0.09174648786717751,0.3833333333333542,191.56666666666663
1996681992.csv,15652,0.008093104003884232,0.0,0.0027538036217499666,0.008093104003884232,43.102534287630476,0.016666666666708352,0.016666666666623087,0.016666666666666666,8.526512829121202e-14,260.85
1996682744.csv,2410,0.028363738063424227,0.0,0.017704441059294845,0.028363738063424227,42.66770295290058,0.48333333333332007,0.016666666666623087,0.0910958904109589,0.466666666666697,219.45
1996683463.csv,10962,0.006690396018124997,0.0,0.0038841921847813784,0.006690396018124997,42.57851472957347,0.016666666666708352,0.016666666666623087,0.016666666666666663,8.526512829121202e-14,182.6833333333333
1996685043.csv,2621,0.03944868988158806,0.0,0.0163042160416688,0.03944868988158806,42.73335024521393,0.3833333333333542,0.016666666666623087,0.11060432569974556,0.3666666666667311,289.78333333333336
1996685411.csv,2258,0.029657914674296258,0.0,0.01894333105541633,0.029657914674296258,42.774041523130066,0.549999999999983,0.016666666666623087,0.1318638310441589,0.5333333333333599,297.6166666666667
1996686384.csv,12292,0.01528228767974802,0.0,0.0034877292183370626,0.01528228767974802,42.871167551799175,0.03333333333338828,0.016666666666623087,0.0166842947414097,0.016666666666765195,205.06666666666663
1996686420.csv,2213,0.03287486575072628,0.0,0.0192834899207891,0.03287486575072628,42.674363194706274,0.16666666666668561,0.016666666666623087,0.0935201928872815,0.15000000000006253,206.86666666666667
1996687020.csv,2154,0.02714065078945482,0.0,0.01977991147406036,0.02714065078945482,42.60592931512602,0.26666666666667993,0.016666666666623087,0.12028951850131597,0.25000000000005684,258.9833333333333
1996687198.csv,1261,0.3158932551095527,0.0,0.03393722561317941,0.3158932551095527,42.79484149821924,2.0833333333333286,0.08333333333331439,0.24724867724867727,2.000000000000014,311.53333333333336
1996687862.csv,2276,0.04305160427090232,0.0,0.018884834786721927,0.04305160427090232,42.981883974579105,0.6499999999999915,0.016666666666623087,0.12776556776556777,0.6333333333333684,290.6666666666667
1996688091.csv,2565,0.03022397233388813,0.0,0.01662150624815547,0.03022397233388813,42.634163526518776,0.5,0.016666666666623087,0.0922191887675507,0.4833333333333769,236.45
1996688396.csv,14339,0.008208980618917627,0.0,0.0029712472866858016,0.008208980618917627,42.60471484378771,0.016666666666708352,0.016666666666623087,0.016666666666666666,8.526512829121202e-14,238.96666666666667
1996691008.csv,13271,0.008596794608105513,0.0,0.0032090097175828084,0.008596794608105513,42.58676796204145,0.016666666666708352,0.016666666666623087,0.016666666666666663,8.526512829121202e-14,221.16666666666663
1996691801.csv,14020,0.014943173842283854,0.0,0.003037015958593872,0.014943173842283854,42.578963739486085,0.016666666666708352,0.016666666666623087,0.016666666666666666,8.526512829121202e-14,233.65
1996693435.csv,2625,0.03044520800591687,0.0,0.016232901161206577,0.03044520800591687,42.611365548167264,0.13333333333333997,0.0,0.08067200203252031,0.13333333333333997,211.6833333333333
1996697621.csv,2148,0.03055600105410849,0.0,0.019814997782408576,0.03055600105410849,42.562615236613624,0.28333333333333144,0.016666666666623087,0.12371526160534078,0.26666666666670835,265.6166666666667
1996700422.csv,2068,0.0346995967884083,0.0,0.02077314644422937,0.0346995967884083,42.95886684666634,1.8500000000000014,0.016666666666623087,0.15894210611191745,1.8333333333333783,328.53333333333336
1996700497.csv,12194,0.008829180972486859,0.0,0.003483943403165532,0.008829180972486859,42.4832058582005,0.016666666666708352,0.016666666666623087,0.016666666666666666,8.526512829121202e-14,203.21666666666667
1996703680.csv,11711,0.008121530821481059,0.0,0.0036337320736768625,0.008121530821481059,42.554636314829736,0.016666666666708352,0.016666666666623087,0.016666666666666663,8.526512829121202e-14,195.16666666666663
1996703885.csv,14968,0.013912839916966254,0.0,0.00287032472153594,0.013912839916966254,42.96302043194995,0.016666666666708352,0.016666666666623087,0.016666666666666666,8.526512829121202e-14,249.45
1996704462.csv,13179,0.06580136872801225,0.0,0.0032471509720211006,0.06580136872801225,42.79420266026609,0.43333333333333335,0.016666666666623087,0.016698285020488694,0.41666666666671026,220.05
1996704514.csv,2354,0.030144648700543425,0.0,0.01814924821745802,0.030144648700543425,42.72333030389618,0.45000000000001705,0.016666666666623087,0.09317892052698683,0.43333333333339397,219.25
1996705863.csv,3332,0.0313965317122817,0.0,0.01285180134323361,0.0313965317122817,42.82220207565439,0.13333333333332575,0.016666666666623087,0.06356949864905434,0.11666666666670267,211.75
1996706188.csv,2206,0.03575943289989294,0.0,0.019320509444797383,0.03575943289989294,42.62104383522303,0.31666666666663446,0.016666666666623087,0.10558578987150415,0.30000000000001137,232.81666666666663
1996706640.csv,14111,0.009975655259841171,0.0,0.003042232573637189,0.009975655259841171,42.92894384659438,0.016666666666708352,0.016666666666623087,0.016666666666666663,8.526512829121202e-14,235.16666666666663
1996707031.csv,15844,0.00955084870477975,0.0,0.002694903349089096,0.00955084870477975,42.698048662967636,0.016666666666708352,0.016666666666623087,0.016666666666666666,8.526512829121202e-14,264.05
1996707146.csv,10815,0.01113210773302934,0.0,0.003944599912518619,0.01113210773302934,42.66084805388886,0.05000000000000426,0.016666666666623087,0.016669749090684916,0.03333333333338118,180.26666666666668
1996707371.csv,2017,0.027634579742302306,0.0,0.021103860252101102,0.027634579742302306,42.566486128487924,0.18333333333333357,0.01666666666665151,0.10150462962962963,0.16666666666668206,204.63333333333333
1996711453.csv,13983,0.01860588348934354,0.0,0.0030606302870479817,0.01860588348934354,42.79679330379193,0.46666666666666856,0.016666666666623087,0.016698850903542648,0.4500000000000455,233.4833333333333
1996714090.csv,3491,0.02533090637192864,0.0,0.012305579639577053,0.02533090637192864,42.95877852176349,0.466666666666665,0.016666666666623087,0.06883476599808977,0.4500000000000419,240.2333333333333
1996714850.csv,16112,0.006676663624790624,0.0,0.002644577548774778,0.006676663624790624,42.609433465859226,0.016666666666708352,0.016666666666623087,0.016666666666666666,8.526512829121202e-14,268.51666666666665
